grain_id,X,Y,Z,GrainRadius,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,Eul0,Eul1,Eul2
1,-106.32862142345,93.553275200019,151.17525035374,9.965327684841709,-0.0013843363342832,-0.0005389786466326,-0.0010574478041501,-0.0005389786466326,-0.0019990680109964,-0.0011650039846195,-0.0010574478041501,-0.0011650039846195,0.0051247567101035,-0.32753075896382,-0.19423923220462,0.48461134598303
2,-131.99056987649,24.952704936638,514.9814825758,9.78105127329644,-0.0009450822313319,4.8647312031555e-05,-0.0001376801214894,4.8647312031555e-05,-0.0009319472641086,0.0002691759174788,-0.0001376801214894,0.0002691759174788,0.0035821335692163,0.55399923861974,-0.78632777288042,0.085268840867674
3,52.163428807203,-25.701892838708,591.86193290856,9.898434227843271,-0.0022445161203398,0.0002030779458784,-0.000704733497707,0.0002030779458784,-0.0006137707832292,0.0002553242324954,-0.000704733497707,0.0002553242324954,0.0044662163802617,-0.46917572671251,-0.63004587068727,0.062161194163456
4,-106.58628215854,-105.78267430481,584.43722947025,10.417261889025491,-0.0021714472312373,-0.0003539516993567,0.0001229361660037,-0.0003539516993567,-0.0020281841202165,-0.0012154836640083,0.0001229361660037,-0.0012154836640083,0.0056925885876268,0.30119850061938,0.56844645635997,0.17188234721327
5,-36.08064214822,135.0333204525,547.40171321792,9.680270795484862,-0.0006918773920673,-0.0005720185153132,0.000394930093235,-0.0005720185153132,-0.0015493948360793,0.0006968668468991,0.000394930093235,0.0006968668468991,0.0036682413326007,-0.48945709118778,0.7426722585082,0.072706103654238
6,85.444885698684,-135.71835053631,411.13704860258,9.180897245575048,-0.0024783218166629,-0.00144041709359,-0.0013282071819108,-0.00144041709359,-0.0012596383298473,-0.0002633173600943,-0.0013282071819108,-0.0002633173600943,0.0049952474607114,0.797301513089,0.10011042765175,-0.22992966464991
7,-36.684300957014,-85.573502215361,230.29519611367,9.93450797487956,-0.001410529871663,-0.0003850050760189,-0.0001189420619393,-0.0003850050760189,-0.0007405317664894,-0.000180941826045,-0.0001189420619393,-0.000180941826045,0.0038302721132929,0.36584539353627,0.48037067732571,0.31464918614074
8,155.76936153657,-32.707044998258,310.05409029249,9.20656341731426,-0.0015750079650538,-0.0014462377893777,-0.000859168976771,-0.0014462377893777,-0.001678844513207,-0.0002851748379876,-0.000859168976771,-0.0002851748379876,0.0049538638310531,0.28415941987007,0.77291545050436,0.41413302889886
9,-82.872261187065,55.844023432478,287.85332557774,9.705925217279747,-0.0024337529782533,0.0002047989385098,0.0011787876083735,0.0002047989385098,-0.0006767547908233,0.0007671734316827,0.0011787876083735,0.0007671734316827,0.0045043685822527,0.12611277654257,-0.084258298003125,-0.51730755365388
10,152.27976522008,-57.853067561161,549.71318541175,9.937851703263878,-0.001727634038431,-0.0001383458173852,0.0001431376071732,-0.0001383458173852,-0.0028890530948456,0.0002758778256487,0.0001431376071732,0.0002758778256487,0.0063639509558554,0.55223521948016,0.60924263700293,-0.43154065497656
11,-151.34772266492,128.14617714143,600.7513126027,10.174400343956407,-0.0024646236451573,0.0001312372040086,-0.000529758804438,0.0001312372040086,-0.00226531884523,0.0005263410912246,-0.000529758804438,0.0005263410912246,0.0065019909249982,-0.28174122056855,-0.01846064280993,-0.37797980382931
12,85.619354887373,-31.420479712637,102.96719392254,9.838271879335663,-0.0021869862183585,-0.0009710588228036,-0.0008705304885315,-0.0009710588228036,-0.001137689543387,-0.0002862412668234,-0.0008705304885315,-0.0002862412668234,0.0047016007995809,0.099947457886899,0.5306276869279,-0.28564464917171
13,-170.56663899296,84.743206274738,228.24179364564,9.771170526019908,-0.0023506766483834,0.0007448557534825,-0.0003158804246133,0.0007448557534825,-0.000969803197101,-0.0008408003307086,-0.0003158804246133,-0.0008408003307086,0.0048636249687989,-0.03347921390188,-0.1829243254268,-0.080068856376673
14,-74.862660344129,-39.473948217502,413.18181677798,9.369243610565377,-0.0009623631353929,-0.0016526286204418,-0.0007478825809846,-0.0016526286204418,-0.0024312828179638,-0.0009058417863706,-0.0007478825809846,-0.0009058417863706,0.0051030703859342,0.33531191914616,-0.6645154927991,0.1274895455828
15,27.593303767012,-45.089928305229,395.41859463894,9.247165288026661,-0.0005341909704974,0.0010105232292557,-0.0006089006741173,0.0010105232292557,-0.0031699118395876,0.0008090404310284,-0.0006089006741173,0.0008090404310284,0.0053318628816915,-0.22939085055759,-0.15582593738843,-0.35252952210976
16,-83.609976064672,-117.22696394847,98.813464211229,9.858955595476809,-0.0011507905649639,-0.0006590309587006,-0.0005570762192058,-0.0006590309587006,-0.0012510395963927,-0.000279071392288,-0.0005570762192058,-0.000279071392288,0.0037399494775145,0.2706349680787,0.60835080328116,0.42131309860757
17,-71.437399446762,30.076068332852,630.3999294762,9.528257471011239,-0.0005678579127973,0.0010597382647687,-0.0001067002807548,0.0010597382647687,-0.0028277244600733,0.0012912155121154,-0.0001067002807548,0.0012912155121154,0.0039701164370228,0.075865784783883,0.096081698374685,-0.3116506225783
18,85.84788419309,130.18082768441,159.96581017754,9.646977413386585,-0.00196900308153,-0.0003278830624812,0.0006602913637019,-0.0003278830624812,-0.0022100497713553,0.0006113784881298,0.0006602913637019,0.0006113784881298,0.0057677694152965,-0.085409193644051,0.28261948948667,-0.2943170205855
19,-53.846162689358,132.24331890668,234.12241540299,9.148406051407017,-0.0020959567003618,0.0013996521445419,-0.001088285190827,0.0013996521445419,-0.0020134267619522,0.0008338523105238,-0.001088285190827,0.0008338523105238,0.0057887004342124,0.32595135787894,0.40350932840806,0.85741813586674
20,35.992912240377,69.421802274903,444.83598807114,9.827208791293867,-0.0010032660829336,-3.7868417282065e-05,0.0002130613673877,-3.7868417282065e-05,-0.0011993239091451,-0.0003929969683881,0.0002130613673877,-0.0003929969683881,0.0035737750388125,0.39692066217746,0.043551788123218,0.092480474834166
21,157.11191896301,87.385138914134,635.38024446655,9.117647077630593,-0.00164095271503,9.8892529587724e-05,-0.0004900339921516,9.8892529587724e-05,-0.0016803230580314,-0.0017211498451211,-0.0004900339921516,-0.0017211498451211,0.0047365018301818,0.82407254202576,-0.079628647740316,-0.30678489189577
22,147.6656553307,-87.331600457118,62.967278324438,9.469294603788029,-0.0010116259994861,0.0007285611441966,0.0003698439884701,0.0007285611441966,-0.0012987144396859,0.0010427022200493,0.0003698439884701,0.0010427022200493,0.0040511786355764,-0.33106492464087,0.49512654685927,-0.31048096509629
23,-150.57937080467,-117.0867784541,394.61678976943,10.0950075394635,-0.0021196273715017,2.7258825665916e-05,0.0007454623879565,2.7258825665916e-05,-0.0011169898973937,-0.0005452155181617,0.0007454623879565,-0.0005452155181617,0.0045363994257785,-0.17564556050724,0.69906057035929,-0.044524545244402
24,67.064057095674,-135.25667809609,554.23231777705,8.831297133478861,-0.0018442324210252,0.0016225423128464,0.0001403784161127,0.0016225423128464,-0.0014448415713987,9.6460886499793e-05,0.0001403784161127,9.6460886499793e-05,0.0048459383184469,0.63494584514639,-0.28299597441678,0.25718766527796
25,150.57900459676,15.559182583653,182.01871261465,9.493527002814856,-0.0024583142322536,0.000668824549612,-4.7591471022338e-05,0.000668824549612,-0.002111823872545,-0.0019063623075925,-4.7591471022338e-05,-0.0019063623075925,0.0062997927033479,0.28064558929586,-0.11624874545904,0.14881341905684
26,-46.145168533462,20.807976249486,65.684235521238,10.021535480918073,-0.0019142340082164,-0.0004458712668008,0.0008520031582562,-0.0004458712668008,-0.0018670220082056,0.0012599116169387,0.0008520031582562,0.0012599116169387,0.0053019051752329,0.62597337879673,0.6926413371304,0.31239138849583
